zcr = 0.03310546875, mfcc = 271.6468491989054, elapsed time = 0.28125
zcr = 0.027197265625, mfcc = 270.43592136289215, elapsed time = 0.15625
zcr = 0.02744140625, mfcc = 271.2265496078659, elapsed time = 0.203125
zcr = 0.0267578125, mfcc = 269.99503740347404, elapsed time = 0.171875
zcr = 0.028662109375, mfcc = 273.72025494629014, elapsed time = 0.171875
zcr = 0.027392578125, mfcc = 270.30485758879934, elapsed time = 0.21875
zcr = 0.0244140625, mfcc = 273.34371764124, elapsed time = 0.21875
zcr = 0.01953125, mfcc = 264.76668361772624, elapsed time = 0.15625
zcr = 0.01513671875, mfcc = 261.89824612434774, elapsed time = 0.203125
NO Fzcr = 0.03369140625, mfcc = 278.7418835633652, elapsed time = 0.203125
zcr = 0.035546875, mfcc = 278.34105294142785, elapsed time = 0.21875
zcr = 0.0296875, mfcc = 412.7077374907535, elapsed time = 0.25
zcr = 0.059765625, mfcc = 511.8780277741636, elapsed time = 0.28125
zcr = 0.04765625, mfcc = 495.84365408576025, elapsed time = 0.234375
zcr = 0.03193359375, mfcc = 474.48868486783465, elapsed time = 0.265625
zcr = 0.02978515625, mfcc = 477.2106631108635, elapsed time = 0.25
zcr = 0.034619140625, mfcc = 483.64593648647326, elapsed time = 0.265625
zcr = 0.03134765625, mfcc = 477.10555199093267, elapsed time = 0.203125
zcr = 0.032421875, mfcc = 481.9028237210993, elapsed time = 0.234375
zcr = 0.03017578125, mfcc = 332.99240265658284, elapsed time = 10.625
zcr = 0.028369140625, mfcc = 298.1003207309545, elapsed time = 7.640625
zcr = 0.04814453125, mfcc = 534.1101584844479, elapsed time = 9.59375
zcr = 0.033642578125, mfcc = 479.37353416955636, elapsed time = 10.65625
zcr = 0.027978515625, mfcc = 489.84543480012246, elapsed time = 9.625
zcr = 0.024658203125, mfcc = 515.5687458257346, elapsed time = 9.515625
zcr = 0.031591796875, mfcc = 536.0584534404992, elapsed time = 10.375
zcr = 0.038671875, mfcc = 536.4452627760111, elapsed time = 10.015625
zcr = 0.0361328125, mfcc = 548.2834830251344, elapsed time = 9.953125
zcr = 0.02919921875, mfcc = 343.3881208345522, elapsed time = 9.546875
zcr = 0.03525390625, mfcc = 279.80426330577774, elapsed time = 8.875
zcr = 0.03427734375, mfcc = 278.8027113648266, elapsed time = 5.625
zcr = 0.029052734375, mfcc = 293.21049284717526, elapsed time = 8.46875
zcr = 0.033251953125, mfcc = 310.0844876945407, elapsed time = 0.25
zcr = 0.032666015625, mfcc = 273.58933350493754, elapsed time = 0.21875
zcr = 0.0310546875, mfcc = 275.1218348029245, elapsed time = 0.15625
zcr = 0.035986328125, mfcc = 300.3942690563552, elapsed time = 0.234375
zcr = 0.03115234375, mfcc = 275.50113064000914, elapsed time = 0.203125
zcr = 0.02890625, mfcc = 286.95033514513744, elapsed time = 0.171875
zcr = 0.031396484375, mfcc = 276.2318991797761, elapsed time = 0.1875
zcr = 0.034130859375, mfcc = 279.2996019021115, elapsed time = 0.1875
zcr = 0.033837890625, mfcc = 276.3658539104607, elapsed time = 0.15625
zcr = 0.03486328125, mfcc = 280.5482706929855, elapsed time = 0.28125
zcr = 0.035205078125, mfcc = 275.69029654609005, elapsed time = 0.140625
zcr = 0.032568359375, mfcc = 288.74720128482755, elapsed time = 0.21875
zcr = 0.039404296875, mfcc = 280.8896997308968, elapsed time = 0.265625
zcr = 0.037890625, mfcc = 278.02802834824246, elapsed time = 0.15625
zcr = 0.035888671875, mfcc = 277.7143908002641, elapsed time = 0.171875
zcr = 0.03994140625, mfcc = 281.2542100877071, elapsed time = 0.1875
zcr = 0.038671875, mfcc = 286.63556173890436, elapsed time = 0.203125
zcr = 0.037353515625, mfcc = 280.5175153987355, elapsed time = 0.203125
zcr = 0.0462890625, mfcc = 317.35141140721043, elapsed time = 0.265625
zcr = 0.030078125, mfcc = 273.7846976533715, elapsed time = 0.203125
zcr = 0.0279296875, mfcc = 276.670494888433, elapsed time = 0.203125
zcr = 0.0306640625, mfcc = 276.95621261103577, elapsed time = 0.15625
zcr = 0.030615234375, mfcc = 274.08500585120845, elapsed time = 0.171875
zcr = 0.03251953125, mfcc = 278.1358004136887, elapsed time = 0.15625
zcr = 0.03125, mfcc = 277.7979080799344, elapsed time = 0.25
zcr = 0.031689453125, mfcc = 276.4687854853511, elapsed time = 0.203125
zcr = 0.030322265625, mfcc = 278.13987365454017, elapsed time = 0.265625
zcr = 0.031201171875, mfcc = 271.8854367849072, elapsed time = 0.1875
zcr = 0.030419921875, mfcc = 276.2707010539783, elapsed time = 0.1875
zcr = 0.0330078125, mfcc = 272.2026423604346, elapsed time = 0.234375
zcr = 0.03203125, mfcc = 274.21890271447245, elapsed time = 0.15625
zcr = 0.0302734375, mfcc = 270.43317222676893, elapsed time = 0.171875
zcr = 0.032666015625, mfcc = 280.9313960347248, elapsed time = 0.234375
zcr = 0.031591796875, mfcc = 279.98470888846936, elapsed time = 0.203125
zcr = 0.036181640625, mfcc = 279.8940196405523, elapsed time = 0.15625
zcr = 0.0337890625, mfcc = 279.6653497138665, elapsed time = 0.171875
zcr = 0.03369140625, mfcc = 304.79686497709565, elapsed time = 0.15625
zcr = 0.03955078125, mfcc = 464.3968904282422, elapsed time = 0.234375
zcr = 0.022998046875, mfcc = 699.7247085295684, elapsed time = 0.234375
zcr = 0.007373046875, mfcc = 717.5830993855068, elapsed time = 0.21875
zcr = 0.006982421875, mfcc = 697.3105038626748, elapsed time = 0.265625
zcr = 0.026171875, mfcc = 674.0262805129862, elapsed time = 0.171875
zcr = 0.019091796875, mfcc = 658.6179536855974, elapsed time = 0.234375
